*  FLIGHT REPORT EXTRACT  -  CRUISE SNAPSHOTS, ONE CARD PER REPORT
*  ESN      DATE   FLTNO   EGT EGTM   N1   N2    FF OILP OILT VIB CYCSN
00072101 951108 AFR637  810   44  889  978  2350  34  94  28   18273
00072101 951114 AFR298  815   43  887  971  2475  45  84  30   18336
00072101 951117 AFR959  814   44  939  969  2985  27 113  14   18403
00072101 951121 AFR077  815   43  889  992  2718  38  95  20   18463
00072101 951124 AFR721  816   43  913  963  2335  43 118  24   18526
00072101 951201 AFR745  815   43  930  941  2362  24 109  29   18582
00072101 951210 AFR408  814   43  920  947  3060  34  78  18   18631
00072101 951219 AFR604  811   43  881  987  2496  32 101  10   18679
00072101 951224 AFR651  815   42  915  994  2249  32  84   9   18726
00072101 960105 AFR780  813   42  935  972  2523  30 101  21   18775
00072108 951112 DLH294  801   51  886  986  2620  38 117  32    2648
00072108 951120 DLH757  809   50  896  950  2683  37  99  17    2708
00072108 951124 DLH077  804   50  918  970  2770  45 103  11    2773
00072108 951128 DLH250  808   50  950  954  2663  34 106  21    2824
00072108 951203 DLH768  809   50  891  960  2444  35  94  26    2871
00072108 951208 DLH129  809   50  906  964  2476  34  81  23    2929
00072108 951213 DLH870  804   50  891  957  2454  36 103  28    2995
00072108 951222 DLH541  808   49  940  977  2701  24  82  20    3040
00072108 960103 DLH740  804   50  893  954  2358  28 111  29    3099
00072108 960106 DLH661  809   49  890  975  2995  25  78  12    3166
00072115 951108 QFA229  812   45  894  946  2272  33 111  26    2241
00072115 951112 QFA487  806   45  948  959  2671  32  98  28    2311
00072115 951118 QFA907  810   44  883  966  2921  44  97   9    2372
00072115 951126 QFA347  807   45  912  954  2883  37 101  15    2438
00072115 951202 QFA320  813   44  905  940  3016  33 110  10    2505
00072115 951206 QFA918  810   44  939  954  2471  33  84  27    2574
00072115 951210 QFA426  807   44  956  949  2602  25  91   8    2626
00072115 951215 QFA196  809   44  930  968  2929  34  85  10    2672
00072115 951221 QFA174  816   43  939  942  2519  45 102  19    2722
00072115 951226 QFA788  813   42  890  962  2630  27 113  32    2770
00072122 951109 QFA032  814   44  905  963  2754  38  90  18   12800
00072122 951117 QFA065  812   45  885  964  2235  38  82   9   12865
00072122 951125 QFA774  811   44  922  979  2244  32  98  16   12929
00072122 951206 QFA396  807   45  883  992  2439  27 108  30   12993
00072122 951214 QFA792  813   44  943  948  2708  29  78  31   13063
00072122 951223 QFA164  812   44  920  969  2570  43  83  24   13112
00072122 951226 QFA272  807   44  941  975  2757  34  88  21   13164
00072122 960104 QFA636  809   43  933  971  2926  38  89  15   13228
00072122 960109 QFA261  816   43  895  989  3061  33  96  16   13294
00072122 960116 QFA193  815   43  911  951  2451  31  87  17   13362
00072122 960119 QFA105  813   42  911  972  2738  31  84  28   13417
00072122 960126 QFA997  811   43  937  963  2241  33  92  11   13462
00072129 951111 CPA635  790   63  937  978  2466  45  78  11   10409
