*  FLEET MASTER  -  EHM/MRO RELEASE 4.2C
*  ESN      MARK   REG     OPR  HRS SN  CYC SN  BSTD S  SVDUE
*23456789012345678901234567890123456789012345678901234567890
00072101 TR900  G-ENYB  AFR    62214   18759    1 R 960603
00072108 RB211  G-PCHC  DLH    15685    3136    1 U 951119
00072115 TR700  G-WWNB  QFA    11940    2726    2 S 961004
00072122 TR900  G-VZFD  QFA    44549   13402    1 S 970416
00072129 RB211  G-LRWR  CPA    40465   11022    2 S 960619
00072136 TR900  G-TSLR  UAE   113267   21154    1 S 961211
00072143 TR800  G-SPBZ  AFR    86092   19487    3 S 971016
00072150 RB211  G-CCJS  AFR    15243    3188    3 S 950810
00072157 RB211  G-ZMAR  CPA    30211    6706    4 S 970324
00072164 TR800  G-NNSC  SIA    64050   15918    3 R 970909
00072171 RB211  G-MZNH  SIA    13737    3919    2 S 960927
00072178 TR800  G-JKAE  DLH    73918   18717    3 U 950920
00072185 TR700  G-RZVN  DLH    57184   14273    4 S 960703
00072192 TR800  G-RFDL  BAW    14119    4554    2 S 971001
00072199 TR700  G-GXNE  UAE    56437   12583    4 S 970816
00072206 RB211  G-KCED  CPA    41483    9875    2 S 961012
00072213 TR800  G-VATK  AFR    41875    9756    2 S 961018
00072220 TR900  G-YHXG  QFA    68803   14329    2 S 970624
00072227 TR700  G-AJSJ  QFA   111453   21029    4 W 950612
00072234 TR700  G-HDHS  QFA    43790   12266    1 S 950626
00072241 TR700  G-ZDNG  EIN    28886    7049    3 S 950715
00072248 RB211  G-CFFE  BAW    27430    6152    4 W 961027
00072255 RB211  G-ZMEV  SIA     5955    1901    1 S 960928
00072262 TR800  G-GAJG  UAE    64377   17622    3 S 970302
00072269 TR900  G-RZWT  DLH    59982   17638    2 S 961215
00072276 TR800  G-XAEF  SIA    75617   16715    1 S 971117
00072283 RB211  G-DVBH  QFA    32846   10274    1 S 970125
00072290 TR700  G-RLXT  QFA    42571   10282    4 S 961117
00072297 TR900  G-VGRE  DLH    20752    5185    3 S 960903
00072304 TR800  G-ZKDE  CPA    21669    5885    2 U 961104
00072311 RB211  G-SFZH  SIA    82626   15340    4 S 960811
00072318 TR700  G-MALV  EIN    73740   15632    4 S 970517
00072325 TR700  G-DHDC  UAE    32261   10110    2 S 961214
00072332 TR900  G-NEVT  EIN    39391   11916    1 W 960903
00072339 TR900  G-AYCJ  AFR   107104   21128    1 S 960901
00072346 TR900  G-VPJX  SIA    11275    2615    2 R 960802
00072353 TR800  G-GKYK  QFA    44142   10701    2 S 960802
00072360 TR700  G-ATVG  EIN    48559    9250    1 S 950722
00072367 RB211  G-VNTK  QFA    33913    8722    2 S 970127
00072374 TR800  G-ACYJ  DLH    21136    6549    4 W 950520
00072381 TR800  G-KBRF  SIA    41315   10015    3 S 970911
00072388 TR800  G-BKGM  SIA     4781    1235    1 S 971107
00072395 TR800  G-TACJ  AFR    23767    5914    1 S 970521
00072402 TR800  G-CWTE  DLH    56548   11886    4 S 951021
00072409 TR800  G-BTYP  SIA    88717   18362    1 W 971222
00072416 TR800  G-CABE  CPA    18391    4637    4 S 950121
00072423 TR800  G-SJAR  AFR    91323   17681    1 S 961124
00072430 RB211  G-JCJH  QFA    42062    8760    4 S 970216
